num_blocks,initial_filters,filter_sizes,nhl_activation,ol_activation,cost_function,data_split,learning_rate,weight_decay,betas,epochs,average_test_accuracy,std_test_accuracy,average_f1_score,std_f1_score
1,2,[2],relu,,cross_entropy,"(0.8, 0.1, 0.1)",0.001,0.0,"(0.9, 0.9)",50,64.55453149001536,0.9592930873115842,0.6345183712613411,0.012483786308202101
1,2,[2],relu,,cross_entropy,"(0.4, 0.2, 0.4)",0.001,0.0,"(0.9, 0.9)",50,57.038531757470935,2.4975237295867174,0.5577881918127725,0.028121961962427316
1,2,[2],relu,,cross_entropy,"(0.1, 0.1, 0.8)",0.001,0.0,"(0.9, 0.9)",50,49.68526260150882,0.2163919129152401,0.4666861641038055,0.0017027362859894197
1,2,[2],sigmoid,,cross_entropy,"(0.8, 0.1, 0.1)",0.001,0.0,"(0.9, 0.9)",50,61.63594470046083,2.394540286961583,0.5988239784646577,0.026837848546439984
1,2,[2],sigmoid,,cross_entropy,"(0.4, 0.2, 0.4)",0.001,0.0,"(0.9, 0.9)",50,59.392716440857114,0.7162350400147668,0.5777882492166198,0.010639976083350216
1,2,[2],sigmoid,,cross_entropy,"(0.1, 0.1, 0.8)",0.001,0.0,"(0.9, 0.9)",50,47.67670943251165,1.6505746561977894,0.4354251425096065,0.02914822624110459
2,2,"[2, 4]",relu,,cross_entropy,"(0.8, 0.1, 0.1)",0.001,0.0,"(0.9, 0.9)",50,63.863287250384026,2.9983442850911115,0.6250428460028754,0.03887659519776743
2,2,"[2, 4]",relu,,cross_entropy,"(0.4, 0.2, 0.4)",0.001,0.0,"(0.9, 0.9)",50,60.026904967810125,0.5695259541745912,0.5826882162563096,0.0078794351003928
2,2,"[2, 4]",relu,,cross_entropy,"(0.1, 0.1, 0.8)",0.001,0.0,"(0.9, 0.9)",50,48.969295084330405,1.0511425961732226,0.45656318932265116,0.017166740283197163
2,2,"[2, 4]",sigmoid,,cross_entropy,"(0.8, 0.1, 0.1)",0.001,0.0,"(0.9, 0.9)",50,63.0184331797235,1.924342521715441,0.6136507389097519,0.021396459957417506
