learning_rate,weight_decay,epochs,betas,ol_activation,cost_function,validation_accuracy,validation_f1_score
0.01,0,30,"(0.9, 0.999)",,cross_entropy,63.437139561707035,0.6269450911921275
0.01,0,30,"(0.9, 0.999)",,nll_loss,9.803921568627452,0.01750700280112045
0.01,0,30,"(0.9, 0.999)",softmax,cross_entropy,7.8431372549019605,0.01140819964349376
0.01,0,30,"(0.9, 0.999)",softmax,nll_loss,9.803921568627452,0.01750700280112045
0.01,0,30,"(0.5, 0.999)",,cross_entropy,65.28258362168397,0.6496285052288961
0.01,0,30,"(0.5, 0.999)",,nll_loss,9.803921568627452,0.01750700280112045
0.01,0,30,"(0.5, 0.999)",softmax,cross_entropy,9.803921568627452,0.01750700280112045
0.01,0,30,"(0.5, 0.999)",softmax,nll_loss,7.8431372549019605,0.01140819964349376
0.01,0,30,"(0.9, 0.9)",,cross_entropy,64.24452133794695,0.6380753447650515
0.01,0,30,"(0.9, 0.9)",,nll_loss,7.8431372549019605,0.011594202898550725
0.01,0,30,"(0.9, 0.9)",softmax,cross_entropy,7.8431372549019605,0.01140819964349376
0.01,0,30,"(0.9, 0.9)",softmax,nll_loss,7.8431372549019605,0.01140819964349376
0.01,0,50,"(0.9, 0.999)",,cross_entropy,60.09227220299885,0.5949801331978585
0.01,0,50,"(0.9, 0.999)",,nll_loss,8.765859284890427,0.02177624319623427
0.01,0,50,"(0.9, 0.999)",softmax,cross_entropy,7.8431372549019605,0.01140819964349376
0.01,0,50,"(0.9, 0.999)",softmax,nll_loss,7.8431372549019605,0.01140819964349376
0.01,0,50,"(0.5, 0.999)",,cross_entropy,67.70472895040369,0.6741476510575045
0.01,0,50,"(0.5, 0.999)",,nll_loss,9.803921568627452,0.01750700280112045
0.01,0,50,"(0.5, 0.999)",softmax,cross_entropy,7.8431372549019605,0.01140819964349376
0.01,0,50,"(0.5, 0.999)",softmax,nll_loss,7.8431372549019605,0.01140819964349376
0.01,0,50,"(0.9, 0.9)",,cross_entropy,64.59054209919262,0.640122167805915
0.01,0,50,"(0.9, 0.9)",,nll_loss,7.8431372549019605,0.011444921316165951
0.01,0,50,"(0.9, 0.9)",softmax,cross_entropy,7.8431372549019605,0.01140819964349376
0.01,0,50,"(0.9, 0.9)",softmax,nll_loss,7.8431372549019605,0.01140819964349376
0.01,0.0001,30,"(0.9, 0.999)",,cross_entropy,64.01384083044982,0.6420853108495848
0.01,0.0001,30,"(0.9, 0.999)",,nll_loss,7.8431372549019605,0.011695906432748536
0.01,0.0001,30,"(0.9, 0.999)",softmax,cross_entropy,4.728950403690888,0.004270638029764899
0.01,0.0001,30,"(0.9, 0.999)",softmax,nll_loss,4.498269896193771,0.0038726826920873524
0.01,0.0001,30,"(0.5, 0.999)",,cross_entropy,62.28373702422145,0.6136695880091931
0.01,0.0001,30,"(0.5, 0.999)",,nll_loss,10.265282583621683,0.034482075658546246
0.01,0.0001,30,"(0.5, 0.999)",softmax,cross_entropy,4.728950403690888,0.004270638029764899
0.01,0.0001,30,"(0.5, 0.999)",softmax,nll_loss,3.690888119953864,0.002627551053137345
0.01,0.0001,30,"(0.9, 0.9)",,cross_entropy,65.28258362168397,0.6471732468730653
0.01,0.0001,30,"(0.9, 0.9)",,nll_loss,7.8431372549019605,0.01140819964349376
0.01,0.0001,30,"(0.9, 0.9)",softmax,cross_entropy,7.8431372549019605,0.01140819964349376
0.01,0.0001,30,"(0.9, 0.9)",softmax,nll_loss,12.341407151095732,0.027669058542597748
0.01,0.0001,50,"(0.9, 0.999)",,cross_entropy,7.8431372549019605,0.01140819964349376
0.01,0.0001,50,"(0.9, 0.999)",,nll_loss,9.803921568627452,0.01750700280112045
0.01,0.0001,50,"(0.9, 0.999)",softmax,cross_entropy,7.8431372549019605,0.01140819964349376
0.01,0.0001,50,"(0.9, 0.999)",softmax,nll_loss,4.498269896193771,0.0038726826920873524
0.01,0.0001,50,"(0.5, 0.999)",,cross_entropy,63.437139561707035,0.6142799264938069
0.01,0.0001,50,"(0.5, 0.999)",,nll_loss,7.8431372549019605,0.011619462599854755
0.01,0.0001,50,"(0.5, 0.999)",softmax,cross_entropy,7.8431372549019605,0.01140819964349376
0.01,0.0001,50,"(0.5, 0.999)",softmax,nll_loss,7.8431372549019605,0.01140819964349376
0.01,0.0001,50,"(0.9, 0.9)",,cross_entropy,68.16608996539793,0.6872763477231143
0.01,0.0001,50,"(0.9, 0.9)",,nll_loss,9.803921568627452,0.01750700280112045
0.01,0.0001,50,"(0.9, 0.9)",softmax,cross_entropy,12.687427912341407,0.030081042695985823
0.01,0.0001,50,"(0.9, 0.9)",softmax,nll_loss,12.57208765859285,0.028352556599416944
0.01,0.001,30,"(0.9, 0.999)",,cross_entropy,58.938869665513266,0.5730168422267774
0.01,0.001,30,"(0.9, 0.999)",,nll_loss,13.264129181084199,0.0563871997030982
0.01,0.001,30,"(0.9, 0.999)",softmax,cross_entropy,7.8431372549019605,0.01140819964349376
0.01,0.001,30,"(0.9, 0.999)",softmax,nll_loss,4.728950403690888,0.004270638029764899
0.01,0.001,30,"(0.5, 0.999)",,cross_entropy,66.08996539792388,0.6583778670736472
0.01,0.001,30,"(0.5, 0.999)",,nll_loss,9.803921568627452,0.01750700280112045
0.01,0.001,30,"(0.5, 0.999)",softmax,cross_entropy,7.8431372549019605,0.01140819964349376
